Id,Label,timeset,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,strongcompnum,Cluster,clustering,eigencentrality,Cluter-ID
James,James,,102,102,204,102,102,204,2,0.526899,0.551051,0.000963,0.031525,0.031525,0,0.001017,0,0,0,0.097457,0.795852,0
Shehrooz,Shehrooz,,106,106,212,106,106,212,2,0.528013,0.553053,0.001022,0.032989,0.032989,3,0.001049,0,0,0,0.099012,0.832565,0
Sana,Sana,,116,116,232,116,116,232,2,0.530818,0.558058,0.001217,0.036112,0.036112,7,0.001134,0,0,0,0.09925,0.911351,0
Kian,Kian,,97,97,194,97,97,194,2,0.525513,0.548549,0.000807,0.030792,0.030792,4,0.000971,0,0,0,0.106959,0.776946,0
Danny,Danny,,97,97,194,97,97,194,2,0.525513,0.548549,0.000837,0.030454,0.030454,8,0.000972,0,0,0,0.104811,0.76856,0
Layla,Layla,,90,90,180,90,90,180,2,0.523585,0.545045,0.000722,0.028147,0.028147,3,0.000913,0,0,0,0.10362,0.710489,0
Ismael,Ismael,,94,94,188,94,94,188,2,0.524685,0.547047,0.000788,0.029403,0.029403,3,0.000947,0,0,0,0.097003,0.742198,0
Eve,Eve,,102,102,204,102,102,204,2,0.526899,0.551051,0.00093,0.031773,0.031773,8,0.001016,0,0,0,0.102116,0.80204,0
Arshad,Arshad,,99,99,198,99,99,198,2,0.526066,0.54955,0.000841,0.031484,0.031484,8,0.000987,0,0,0,0.106782,0.794427,0
Megan,Megan,,93,93,186,93,93,186,2,0.524409,0.546547,0.000744,0.029441,0.029441,6,0.000937,0,0,0,0.109631,0.742935,0
Ayesha Shah,Ayesha Shah,,99,99,198,99,99,198,2,0.526066,0.54955,0.000876,0.030926,0.030926,4,0.000989,0,0,0,0.101216,0.780598,0
Hamayun Zubair,Hamayun Zubair,,89,89,178,89,89,178,2,0.523311,0.544545,0.000699,0.027899,0.027899,8,0.000904,0,0,0,0.106486,0.704101,0
Misno,Misno,,112,112,224,112,112,224,2,0.529692,0.556056,0.001115,0.035124,0.035124,6,0.001099,0,0,0,0.099582,0.886384,0
Momina,Momina,,102,102,204,102,102,204,2,0.526899,0.551051,0.000923,0.032114,0.032114,3,0.001014,0,0,0,0.09901,0.810501,0
Saad,Saad,,100,100,200,100,100,200,2,0.526344,0.55005,0.000879,0.031508,0.031508,1,0.000997,0,0,0,0.099192,0.795135,0
Erin,Erin,,101,101,202,101,101,202,2,0.526621,0.550551,0.000888,0.031884,0.031884,8,0.001005,0,0,0,0.107327,0.804523,0
Saleem,Saleem,,112,112,224,112,112,224,2,0.529692,0.556056,0.001118,0.035076,0.035076,8,0.001099,0,0,0,0.095721,0.885304,0
Rohan,Rohan,,111,111,222,111,111,222,2,0.529412,0.555556,0.001142,0.034153,0.034153,7,0.001094,0,0,0,0.099099,0.862202,0
Joel,Joel,,106,106,212,106,106,212,2,0.528013,0.553053,0.001003,0.033116,0.033116,6,0.001049,0,0,0,0.101348,0.835818,0
Nadeem,Nadeem,,113,113,226,113,113,226,2,0.529973,0.556557,0.001113,0.035596,0.035596,4,0.001107,0,0,0,0.099083,0.898201,0
Verity,Verity,,109,109,218,109,109,218,2,0.528851,0.554555,0.001101,0.033785,0.033785,1,0.001075,0,0,0,0.095141,0.85291,0
Nadiya,Nadiya,,114,114,228,114,114,228,2,0.530255,0.557057,0.00119,0.035268,0.035268,4,0.001118,0,0,0,0.101227,0.890305,0
Leo,Leo,,107,107,214,107,107,214,2,0.528292,0.553554,0.001023,0.033551,0.033551,0,0.001057,0,0,0,0.099101,0.84675,0
Raja Imran Zafar,Raja Imran Zafar,,110,110,220,110,110,220,2,0.529131,0.555055,0.001116,0.034176,0.034176,6,0.001084,0,0,0,0.096747,0.862568,0
Beatrice,Beatrice,,106,106,212,106,106,212,2,0.528013,0.553053,0.000989,0.033467,0.033467,0,0.001048,0,0,0,0.098293,0.844485,0
Nida Khan,Nida Khan,,102,102,204,102,102,204,2,0.526899,0.551051,0.000925,0.031871,0.031871,1,0.001015,0,0,0,0.105416,0.804435,0
Waqas Nazir,Waqas Nazir,,109,109,218,109,109,218,2,0.528851,0.554555,0.001034,0.034587,0.034587,4,0.001072,0,0,0,0.09701,0.872754,0
Mubashar Baba,Mubashar Baba,,99,99,198,99,99,198,2,0.526066,0.54955,0.000844,0.031457,0.031457,3,0.000987,0,0,0,0.111936,0.793712,0
Stanley,Stanley,,87,87,174,87,87,174,2,0.522763,0.543544,0.000683,0.027129,0.027129,4,0.000888,0,0,0,0.099706,0.68477,0
Mazan Hoot,Mazan Hoot,,104,104,208,104,104,208,3,0.527177,0.551885,0.000969,0.032443,0.032443,8,0.001032,0,0,0,0.098581,0.818813,0
Mustafa Dk,Mustafa Dk,,80,80,160,80,80,160,2,0.520855,0.54004,0.000567,0.025022,0.025022,2,0.000828,0,0,0,0.103165,0.631585,0
Dolcie,Dolcie,,111,111,222,111,111,222,2,0.529412,0.555556,0.001102,0.034754,0.034754,0,0.001091,0,0,0,0.103522,0.877078,0
Rorry,Rorry,,92,92,184,92,92,184,2,0.524134,0.546046,0.000744,0.029011,0.029011,4,0.000929,0,0,0,0.104634,0.732151,0
Nicole,Nicole,,105,105,210,105,105,210,2,0.527734,0.552553,0.000946,0.033546,0.033546,5,0.001038,0,0,0,0.102015,0.846363,0
Elliot,Elliot,,116,116,232,116,116,232,2,0.530818,0.558058,0.001204,0.036502,0.036502,5,0.001133,0,0,0,0.097751,0.921139,0
Mudassar Munir,Mudassar Munir,,87,87,174,87,87,174,2,0.522763,0.543544,0.00068,0.026955,0.026955,0,0.000889,0,0,0,0.101043,0.680472,0
Waqas,Waqas,,87,87,174,87,87,174,2,0.522763,0.543544,0.000667,0.027223,0.027223,1,0.000888,0,0,0,0.105052,0.687115,0
Aymen,Aymen,,95,95,190,95,95,190,2,0.524961,0.547548,0.000781,0.030258,0.030258,4,0.000953,0,0,0,0.101456,0.76352,0
Marcus,Marcus,,109,109,218,109,109,218,2,0.528851,0.554555,0.001058,0.034217,0.034217,6,0.001074,0,0,0,0.098709,0.863561,0
Janice,Janice,,102,102,204,102,102,204,2,0.526899,0.551051,0.000947,0.031664,0.031664,0,0.001016,0,0,0,0.095127,0.799277,0
Danish Saifullah,Danish Saifullah,,108,108,216,108,108,216,2,0.528571,0.554054,0.001045,0.033807,0.033807,8,0.001066,0,0,0,0.102631,0.85331,0
Tanveer,Tanveer,,71,71,142,71,71,142,2,0.518422,0.535536,0.000447,0.022179,0.022179,8,0.000752,0,0,0,0.104225,0.559879,0
Ahsan,Ahsan,,101,101,202,101,101,202,2,0.526621,0.550551,0.000885,0.032075,0.032075,3,0.001004,0,0,0,0.10495,0.80933,0
Cai,Cai,,108,108,216,108,108,216,2,0.528571,0.554054,0.001022,0.034109,0.034109,5,0.001064,0,0,0,0.100381,0.860741,0
Declan,Declan,,106,106,212,106,106,212,2,0.528013,0.553053,0.001008,0.033194,0.033194,8,0.001048,0,0,0,0.097754,0.837765,0
Adeela,Adeela,,102,102,204,102,102,204,2,0.526899,0.551051,0.000898,0.032388,0.032388,1,0.001013,0,0,0,0.100757,0.817232,0
Noor,Noor,,123,123,246,123,123,246,2,0.5328,0.561562,0.001369,0.038447,0.038447,2,0.001193,0,0,0,0.096895,0.970278,0
Ashton,Ashton,,91,91,182,91,91,182,2,0.523859,0.545546,0.00072,0.028778,0.028778,8,0.00092,0,0,0,0.104518,0.726287,0
Erik,Erik,,92,92,184,92,92,184,3,0.523859,0.545879,0.00074,0.029045,0.029045,7,0.000929,0,0,0,0.09914,0.733005,0
Arisha,Arisha,,119,119,238,119,119,238,2,0.531666,0.55956,0.001246,0.037564,0.037564,2,0.001158,0,0,0,0.103262,0.94782,0
Reema,Reema,,92,92,184,92,92,184,2,0.524134,0.546046,0.000758,0.028655,0.028655,8,0.00093,0,0,0,0.100812,0.723355,0
Neha Ch,Neha Ch,,97,97,194,97,97,194,2,0.525513,0.548549,0.00081,0.030766,0.030766,4,0.000971,0,0,0,0.101589,0.776334,0
Shujahat,Shujahat,,97,97,194,97,97,194,2,0.525513,0.548549,0.000795,0.030942,0.030942,6,0.00097,0,0,0,0.102448,0.78073,0
Rehman,Rehman,,87,87,174,87,87,174,2,0.522763,0.543544,0.000659,0.027658,0.027658,7,0.000886,0,0,0,0.106121,0.697892,0
Barashna Yawar,Barashna Yawar,,106,106,212,106,106,212,3,0.527734,0.552886,0.00098,0.033498,0.033498,6,0.001047,0,0,0,0.10584,0.845311,0
Levi,Levi,,115,115,230,115,115,230,2,0.530536,0.557558,0.001158,0.036211,0.036211,7,0.001124,0,0,0,0.102517,0.913783,0
Aurangzaib,Aurangzaib,,82,82,164,82,82,164,2,0.521399,0.541041,0.000596,0.025678,0.025678,3,0.000845,0,0,0,0.104788,0.648175,0
Younus,Younus,,104,104,208,104,104,208,2,0.527455,0.552052,0.000948,0.032714,0.032714,8,0.001031,0,0,0,0.102128,0.825579,0
Brittney Mazzella  ,Brittney Mazzella  ,,116,116,232,116,116,232,2,0.530818,0.558058,0.001134,0.037317,0.037317,1,0.00113,0,0,0,0.107646,0.941286,0
Sharika Aiken  ,Sharika Aiken  ,,104,104,208,104,104,208,2,0.527455,0.552052,0.000989,0.032487,0.032487,0,0.001032,0,0,0,0.093353,0.819906,0
Oren Mccaffrey  ,Oren Mccaffrey  ,,99,99,198,99,99,198,2,0.526066,0.54955,0.000885,0.030733,0.030733,2,0.00099,0,0,0,0.101835,0.77571,0
Trinh Gines  ,Trinh Gines  ,,113,113,226,113,113,226,2,0.529973,0.556557,0.001127,0.035686,0.035686,7,0.001107,0,0,0,0.10019,0.900437,0
Xavier,Xavier,,98,98,196,98,98,196,2,0.525789,0.549049,0.000842,0.030912,0.030912,2,0.00098,0,0,0,0.100147,0.780019,0
Kimberley,Kimberley,,106,106,212,106,106,212,2,0.528013,0.553053,0.000968,0.033746,0.033746,7,0.001046,0,0,0,0.104043,0.8515,0
Callum,Callum,,96,96,192,96,96,192,2,0.525237,0.548048,0.000828,0.030064,0.030064,0,0.000964,0,0,0,0.096272,0.758778,0
Donald,Donald,,113,113,226,113,113,226,2,0.529973,0.556557,0.001153,0.035204,0.035204,8,0.001109,0,0,0,0.104456,0.888512,0
Affaan,Affaan,,114,114,228,114,114,228,2,0.530255,0.557057,0.001174,0.035626,0.035626,1,0.001117,0,0,0,0.099053,0.899045,0
Eloise,Eloise,,99,99,198,99,99,198,2,0.526066,0.54955,0.000846,0.031535,0.031535,2,0.000987,0,0,0,0.102865,0.795652,0
Gomez,Gomez,,98,98,196,98,98,196,2,0.525789,0.549049,0.000839,0.030837,0.030837,2,0.00098,0,0,0,0.106249,0.778265,0
Jakub,Jakub,,85,85,170,85,85,170,2,0.522216,0.542543,0.000656,0.026345,0.026345,4,0.000872,0,0,0,0.094958,0.665067,0
Hari Kuncoro,Hari Kuncoro,,95,95,190,95,95,190,2,0.524961,0.547548,0.000804,0.02986,0.02986,4,0.000955,0,0,0,0.090258,0.753594,0
Marco,Marco,,117,117,234,117,117,234,2,0.5311,0.558559,0.001251,0.036494,0.036494,2,0.001143,0,0,0,0.097554,0.921072,0
Isabelle,Isabelle,,109,109,218,109,109,218,2,0.528851,0.554555,0.00103,0.034461,0.034461,8,0.001072,0,0,0,0.102786,0.869597,0
Qotadah,Qotadah,,102,102,204,102,102,204,2,0.526899,0.551051,0.000927,0.031977,0.031977,0,0.001014,0,0,0,0.099981,0.806981,0
Muhammad Shahzain,Muhammad Shahzain,,121,121,242,121,121,242,2,0.532232,0.560561,0.001292,0.038119,0.038119,6,0.001175,0,0,0,0.099036,0.96183,0
Jesse,Jesse,,113,113,226,113,113,226,2,0.529973,0.556557,0.001101,0.036038,0.036038,2,0.001105,0,0,0,0.105247,0.909258,0
Mia,Mia,,98,98,196,98,98,196,2,0.525789,0.549049,0.000827,0.031036,0.031036,1,0.000979,0,0,0,0.107721,0.783111,0
Kai,Kai,,94,94,188,94,94,188,2,0.524685,0.547047,0.000764,0.029791,0.029791,6,0.000945,0,0,0,0.1089,0.751719,0
Shafaq,Shafaq,,95,95,190,95,95,190,2,0.524961,0.547548,0.000799,0.029821,0.029821,3,0.000955,0,0,0,0.101904,0.752608,0
Luisa,Luisa,,112,112,224,112,112,224,2,0.529692,0.556056,0.001111,0.035117,0.035117,0,0.001099,0,0,0,0.104569,0.886139,0
Oscar,Oscar,,114,114,228,114,114,228,2,0.530255,0.557057,0.001177,0.035557,0.035557,8,0.001117,0,0,0,0.098587,0.897399,0
Zainab,Zainab,,98,98,196,98,98,196,2,0.525789,0.549049,0.000838,0.031019,0.031019,2,0.000979,0,0,0,0.102462,0.782734,0
Abdul Malik,Abdul Malik,,92,92,184,92,92,184,2,0.524134,0.546046,0.000755,0.028813,0.028813,8,0.00093,0,0,0,0.102962,0.727178,0
Saurez,Saurez,,100,100,200,100,100,200,2,0.526344,0.55005,0.000842,0.032031,0.032031,7,0.000995,0,0,0,0.104646,0.808036,0
Chandra,Chandra,,111,111,222,111,111,222,2,0.529412,0.555556,0.00109,0.034873,0.034873,3,0.00109,0,0,0,0.103522,0.880066,0
Hassan Gull,Hassan Gull,,95,95,190,95,95,190,2,0.524961,0.547548,0.000793,0.030012,0.030012,4,0.000954,0,0,0,0.096976,0.757282,0
George,George,,98,98,196,98,98,196,2,0.525789,0.549049,0.00087,0.030448,0.030448,3,0.000982,0,0,0,0.10141,0.768607,0
Sylvia,Sylvia,,125,125,250,125,125,250,2,0.533369,0.562563,0.001436,0.038725,0.038725,6,0.001211,0,0,0,0.096903,0.977398,0
Dulmatin,Dulmatin,,100,100,200,100,100,200,2,0.526344,0.55005,0.00089,0.031336,0.031336,8,0.000997,0,0,0,0.099394,0.790797,0
Haider,Haider,,100,100,200,100,100,200,2,0.526344,0.55005,0.000883,0.031486,0.031486,1,0.000997,0,0,0,0.101818,0.79459,0
Zoe,Zoe,,115,115,230,115,115,230,2,0.530536,0.557558,0.001163,0.036307,0.036307,8,0.001124,0,0,0,0.097941,0.916175,0
Kashif,Kashif,,92,92,184,92,92,184,2,0.524134,0.546046,0.000758,0.028833,0.028833,4,0.00093,0,0,0,0.096751,0.727704,0
Billy,Billy,,90,90,180,90,90,180,2,0.523585,0.545045,0.000725,0.028159,0.028159,5,0.000913,0,0,0,0.093633,0.710683,0
Bilaal,Bilaal,,111,111,222,111,111,222,2,0.529412,0.555556,0.001144,0.034278,0.034278,0,0.001093,0,0,0,0.094676,0.865171,0
Carlo,Carlo,,122,122,244,122,122,244,2,0.532516,0.561061,0.001296,0.038713,0.038713,5,0.001182,0,0,0,0.098903,0.976699,0
Armaan,Armaan,,113,113,226,113,113,226,2,0.529973,0.556557,0.001164,0.035233,0.035233,2,0.001109,0,0,0,0.095133,0.889263,0
Ryan,Ryan,,100,100,200,100,100,200,2,0.526344,0.55005,0.000869,0.0317,0.0317,7,0.000996,0,0,0,0.09899,0.799952,0
Yazdaan,Yazdaan,,108,108,216,108,108,216,2,0.528571,0.554054,0.001012,0.034416,0.034416,1,0.001063,0,0,0,0.094496,0.868248,0
Abdul Rohim,Abdul Rohim,,105,105,210,105,105,210,2,0.527734,0.552553,0.000962,0.03326,0.03326,4,0.001039,0,0,0,0.100733,0.839314,0
Sajjad Ali,Sajjad Ali,,100,100,200,100,100,200,2,0.526344,0.55005,0.000877,0.031543,0.031543,3,0.000997,0,0,0,0.106263,0.796088,0
Aris Munandar,Aris Munandar,,93,93,186,93,93,186,3,0.524134,0.54638,0.000775,0.029067,0.029067,0,0.000939,0,0,0,0.104956,0.733602,0
Khushi,Khushi,,121,121,242,121,121,242,2,0.532232,0.560561,0.001286,0.038349,0.038349,8,0.001174,0,0,0,0.100413,0.967648,0
Nathan,Nathan,,105,105,210,105,105,210,3,0.527455,0.552386,0.000955,0.033442,0.033442,5,0.001038,0,0,0,0.099451,0.843736,0
Nate,Nate,,91,91,182,91,91,182,2,0.523859,0.545546,0.000724,0.028746,0.028746,1,0.000921,0,0,0,0.102076,0.725378,0
Emila,Emila,,88,88,176,88,88,176,2,0.523037,0.544044,0.00065,0.028152,0.028152,7,0.000894,0,0,0,0.111285,0.7103,0
Kamal Kami,Kamal Kami,,97,97,194,97,97,194,2,0.525513,0.548549,0.000821,0.03076,0.03076,4,0.000971,0,0,0,0.098368,0.776227,0
Ivy,Ivy,,94,94,188,94,94,188,2,0.524685,0.547047,0.00078,0.029662,0.029662,6,0.000946,0,0,0,0.100892,0.748549,0
Scott,Scott,,93,93,186,93,93,186,2,0.524409,0.546547,0.000772,0.029183,0.029183,1,0.000938,0,0,0,0.09654,0.736569,0
Zeehsan Ahmed,Zeehsan Ahmed,,110,110,220,110,110,220,2,0.529131,0.555055,0.001083,0.034579,0.034579,7,0.001082,0,0,0,0.09608,0.872635,0
Yousaf,Yousaf,,104,104,208,104,104,208,2,0.527455,0.552052,0.000955,0.032866,0.032866,1,0.001031,0,0,0,0.101195,0.829366,0
Javeed,Javeed,,97,97,194,97,97,194,2,0.525513,0.548549,0.000827,0.030567,0.030567,4,0.000971,0,0,0,0.1061,0.771427,0
Zack,Zack,,126,126,252,126,126,252,2,0.533654,0.563063,0.001425,0.039628,0.039628,8,0.001218,0,0,0,0.100825,1,0
Amir Jamil,Amir Jamil,,98,98,196,98,98,196,2,0.525789,0.549049,0.000848,0.030814,0.030814,3,0.00098,0,0,0,0.095519,0.777674,0
Hermione,Hermione,,95,95,190,95,95,190,2,0.524961,0.547548,0.00079,0.029978,0.029978,7,0.000954,0,0,0,0.102352,0.756544,0
Subhaan,Subhaan,,122,122,244,122,122,244,2,0.532516,0.561061,0.001301,0.038871,0.038871,6,0.001182,0,0,0,0.096328,0.980643,0
Muhib Awais,Muhib Awais,,111,111,222,111,111,222,2,0.529412,0.555556,0.001101,0.034709,0.034709,8,0.001091,0,0,0,0.099427,0.875956,0
Qadeer,Qadeer,,90,90,180,90,90,180,2,0.523585,0.545045,0.000736,0.028062,0.028062,5,0.000914,0,0,0,0.096879,0.708353,0
Niamh,Niamh,,106,106,212,106,106,212,2,0.528013,0.553053,0.001012,0.03314,0.03314,1,0.001048,0,0,0,0.090027,0.836378,0
Zahid Khalil,Zahid Khalil,,104,104,208,104,104,208,2,0.527455,0.552052,0.000966,0.032638,0.032638,4,0.001031,0,0,0,0.095967,0.823729,0
Ajay,Ajay,,101,101,202,101,101,202,2,0.526621,0.550551,0.000889,0.031848,0.031848,1,0.001005,0,0,0,0.101188,0.803667,0
Ahmed Naqash,Ahmed Naqash,,90,90,180,90,90,180,2,0.523585,0.545045,0.000713,0.028432,0.028432,6,0.000912,0,0,0,0.101873,0.717515,0
Sameer Ahmed,Sameer Ahmed,,92,92,184,92,92,184,2,0.524134,0.546046,0.000748,0.028957,0.028957,3,0.000929,0,0,0,0.105112,0.730777,0
Mula,Mula,,117,117,234,117,117,234,2,0.5311,0.558559,0.001198,0.03698,0.03698,5,0.001141,0,0,0,0.10389,0.932999,0
Osama,Osama,,98,98,196,98,98,196,2,0.525789,0.549049,0.00085,0.030813,0.030813,1,0.00098,0,0,0,0.097623,0.777631,0
Aiza,Aiza,,102,102,204,102,102,204,2,0.526899,0.551051,0.000904,0.03237,0.03237,7,0.001013,0,0,0,0.103669,0.816656,0
Asim,Asim,,102,102,204,102,102,204,3,0.526621,0.550884,0.000909,0.032211,0.032211,5,0.001014,0,0,0,0.102504,0.812764,0
Jarryullah,Jarryullah,,97,97,194,97,97,194,2,0.525513,0.548549,0.000823,0.030613,0.030613,4,0.000971,0,0,0,0.096005,0.772523,0
Arshiya,Arshiya,,110,110,220,110,110,220,2,0.529131,0.555055,0.001061,0.034665,0.034665,6,0.001082,0,0,0,0.102919,0.874705,0
Rhys,Rhys,,107,107,214,107,107,214,2,0.528292,0.553554,0.001018,0.033551,0.033551,7,0.001057,0,0,0,0.104391,0.84668,0
Sanam,Sanam,,107,107,214,107,107,214,2,0.528292,0.553554,0.001071,0.032993,0.032993,7,0.00106,0,0,0,0.097866,0.832912,0
Damian,Damian,,101,101,202,101,101,202,2,0.526621,0.550551,0.000893,0.031875,0.031875,8,0.001005,0,0,0,0.101782,0.80439,0
Mishaal,Mishaal,,92,92,184,92,92,184,2,0.524134,0.546046,0.000757,0.028744,0.028744,7,0.00093,0,0,0,0.094123,0.725447,0
Annabelle,Annabelle,,92,92,184,92,92,184,2,0.524134,0.546046,0.000737,0.029153,0.029153,0,0.000928,0,0,0,0.106546,0.735727,0
Tilly,Tilly,,101,101,202,101,101,202,2,0.526621,0.550551,0.000892,0.031987,0.031987,5,0.001005,0,0,0,0.102574,0.807126,0
Aslam,Aslam,,112,112,224,112,112,224,2,0.529692,0.556056,0.001149,0.034723,0.034723,4,0.001101,0,0,0,0.09749,0.876378,0
Malik Farooq,Malik Farooq,,109,109,218,109,109,218,2,0.528851,0.554555,0.001058,0.034356,0.034356,1,0.001073,0,0,0,0.09667,0.866903,0
Laurance,Laurance,,100,100,200,100,100,200,2,0.526344,0.55005,0.000856,0.031852,0.031852,8,0.000996,0,0,0,0.108687,0.803593,0
Ashwariya,Ashwariya,,99,99,198,99,99,198,2,0.526066,0.54955,0.000862,0.031191,0.031191,8,0.000988,0,0,0,0.101835,0.787173,0
Yasir Mehmood,Yasir Mehmood,,101,101,202,101,101,202,2,0.526621,0.550551,0.000944,0.0314,0.0314,8,0.001007,0,0,0,0.087525,0.79251,0
Keirra,Keirra,,96,96,192,96,96,192,2,0.525237,0.548048,0.00082,0.030206,0.030206,4,0.000963,0,0,0,0.095833,0.762261,0
Frieda,Frieda,,92,92,184,92,92,184,2,0.524134,0.546046,0.000729,0.029144,0.029144,4,0.000928,0,0,0,0.106068,0.735449,0
Millie,Millie,,102,102,204,102,102,204,2,0.526899,0.551051,0.000917,0.032166,0.032166,6,0.001014,0,0,0,0.10464,0.811619,0
Awais,Awais,,106,106,212,106,106,212,2,0.528013,0.553053,0.000974,0.033606,0.033606,8,0.001047,0,0,0,0.103863,0.847866,0
Shemeka,Shemeka,,107,107,214,107,107,214,2,0.528292,0.553554,0.00102,0.033774,0.033774,7,0.001056,0,0,0,0.09769,0.852254,0
Ijaz Ahmed,Ijaz Ahmed,,101,101,202,101,101,202,2,0.526621,0.550551,0.000888,0.032018,0.032018,7,0.001005,0,0,0,0.103762,0.807875,0
